state,town,estimated_population,year
CONNECTICUT,STRATFORD,52265,2020
CONNECTICUT,SUFFIELD,15725,2020
CONNECTICUT,THOMASTON,7426,2020
CONNECTICUT,THOMPSON,9185,2020
CONNECTICUT,TOLLAND,14552,2020
CONNECTICUT,TORRINGTON,35422,2020
CONNECTICUT,TRUMBULL,36742,2020
CONNECTICUT,UNION,784,2020
CONNECTICUT,VERNON,30218,2020
CONNECTICUT,VOLUNTOWN,2564,2020
CONNECTICUT,WALLINGFORD,44317,2020
CONNECTICUT,WARREN,1348,2020
CONNECTICUT,WASHINGTON,3644,2020
CONNECTICUT,WATERBURY,114426,2020
CONNECTICUT,WATERFORD,19516,2020
CONNECTICUT,WATERTOWN,22083,2020
CONNECTICUT,WESTBROOK,6757,2020
CONNECTICUT,WEST HARTFORD,64019,2020
CONNECTICUT,WEST HAVEN,55536,2020
CONNECTICUT,WESTON,10360,2020
CONNECTICUT,WESTPORT,27128,2020
CONNECTICUT,WETHERSFIELD,27272,2020
CONNECTICUT,WILLINGTON,5568,2020
CONNECTICUT,WILTON,18465,2020
CONNECTICUT,WINCHESTER,10226,2020
CONNECTICUT,WINDHAM,24426,2020
CONNECTICUT,WINDSOR,29413,2020
CONNECTICUT,WINDSOR LOCKS,12592,2020
CONNECTICUT,WOLCOTT,16117,2020
CONNECTICUT,WOODBRIDGE,9074,2020
CONNECTICUT,WOODBURY,9711,2020
CONNECTICUT,WOODSTOCK,8228,2020
